,cash,short_bond,credit,long_bond,equity_div,equity_growth,equity_theme,reits,gold,commodity,overseas
cash,0.00002500,0.00000750,0.00000750,-0.00000000,-0.00006000,-0.00009000,-0.00010800,-0.00002000,-0.00002500,0.00000000,-0.00006500
short_bond,0.00000750,0.00022500,0.00015750,0.00024000,-0.00027000,-0.00040500,-0.00048600,-0.00012000,-0.00007500,0.00010500,-0.00023400
credit,0.00000750,0.00015750,0.00090000,0.00060000,0.00054000,0.00081000,0.00097200,0.00048000,-0.00015000,0.00042000,0.00078000
long_bond,-0.00000000,0.00024000,0.00060000,0.00160000,-0.00120000,-0.00168000,-0.00201600,-0.00032000,-0.00040000,0.00028000,-0.00104000
equity_div,-0.00006000,-0.00027000,0.00054000,-0.00120000,0.01440000,0.01440000,0.01555200,0.00480000,-0.00120000,0.00252000,0.01092000
equity_growth,-0.00009000,-0.00040500,0.00081000,-0.00168000,0.01440000,0.02250000,0.02295000,0.00660000,-0.00150000,0.00420000,0.01462500
equity_theme,-0.00010800,-0.00048600,0.00097200,-0.00201600,0.01555200,0.02295000,0.03240000,0.00648000,-0.00180000,0.00554400,0.01684800
reits,-0.00002000,-0.00012000,0.00048000,-0.00032000,0.00480000,0.00660000,0.00648000,0.00640000,-0.00040000,0.00112000,0.00468000
gold,-0.00002500,-0.00007500,-0.00015000,-0.00040000,-0.00120000,-0.00150000,-0.00180000,-0.00040000,0.01000000,0.00280000,-0.00065000
commodity,0.00000000,0.00010500,0.00042000,0.00028000,0.00252000,0.00420000,0.00554400,0.00112000,0.00280000,0.01960000,0.00273000
overseas,-0.00006500,-0.00023400,0.00078000,-0.00104000,0.01092000,0.01462500,0.01684800,0.00468000,-0.00065000,0.00273000,0.01690000
